Fondo ,AGRO,ALUA,AUSO,BBAR,BYMA,BHIP,BMA,BPAT,BRIO6,VALO,BIOXC,BOLT,CVH,CAPX,CELU,CECO2,CEPU,COME,CTIO,CRES,DGCU2,DYCA,EDN,EDLH ,EMDE ,GBAN,GRIM,GCLA,OEST,GGAL,SUPV,HAVA,HARG ,INVJ,IRSA,RICH,LOMA,METR,MIRG,MOLA,MOLI,PAMP,SAMI,TECO2,TXAR,TRAN,TGN04,TGSU2,YPFD
Galicia FIMA Acciones – Clase A,"1,39","2,89",0,"2,63","5,34",0,"4,79",0,"0,02","0,6",0,0,"1,63","3,05","0,18",0,"4,57","1,29","1,31","4,11","0,18",0,"0,81",,0,0,"0,03",0,"0,31","11,5","1,99","0,16","1,22",0,"0,03","0,17","4,3","0,04","1,3",0,0,"10,17","0,28","3,1","12,97","0,35","0,51","1,93","6,97"
BNA Pellegrini Acciones- Clase A,0,"4,47",0,"2,82","5,2",0,"5,15",0,0,"2,98",0,"0,04","2,17",0,0,"0,83","6,47","2,6",0,"0,89",0,0,"1,22",,0,0,0,0,0,"8,76","2,38",0,"0,73",0,0,0,"5,11",0,"2,29",0,0,"9,76",0,"2,28","14,07","1,3","1,6","3,77","10,01"
MACRO- Pionero acciones- Clase A ,0,"5,63",0,"1,39","6,12",0,0,0,0,"1,95","0,08",0,"0,69",0,0,0,"6,09","2,28",0,"1,73",0,0,"0,41",,0,0,0,0,0,"15,05","0,72",0,"0,48","0,18",0,0,"3,21",0,"0,84",0,0,"13,15",0,"1,21","17,08","0,6","1,47","3,81","10,6"
Credicoop- Renta variable Argentina ,0,"4,91","0,04","2,57","6,38",0,"5,39",0,0,"3,2",0,0,0,0,0,0,"5,52","8,07",0,"1,71",0,0,"1,74",,0,0,0,0,0,"7,02","1,43",0,"1,81",0,0,0,"0,96",0,"2,97",0,0,"10,84",0,"1,06","12,19","2,23","2,81","4,75","8,51"
ICBC- Alpha acciones ,"2,16","4,23","1,18","2,17","6,79","0,27","4,39",0,0,"2,29",0,"0,1",0,"4,62",0,"0,29","6,04","4,44","0,52",0,"1,42","0,12","2,16","0,33","0,04","0,1",0,0,0,"5,74","1,62",0,"0,33","0,23",0,0,"5,01",0,"3,85","2,24","0,62","5,23","0,84","3,15","13,44",0,"1,06","4,22","6,48"
Banco Comafi SA- Gainvest Renta Variable,0,"12,92",0,0,0,0,"18,75",0,0,0,0,0,0,0,0,0,"1,75",0,"4,22","3,6",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"17,75",0,0,0,0,"6,17",0,0,"12,7",0,"1,67","5,39","9,64"
HSBC- HF acciones lideres ,"0,48","5,65",0,"1,48","6,85","0,03","4,89",0,0,"1,29",0,0,"0,96",0,0,"0,84","5,84","3,79","0,03","1,73","0,38",0,0,,0,0,0,"0,02",0,"8,49","1,29",0,"1,01","0,12",0,0,"6,16",0,"2,33","0,13",0,"12,24","0,3","1,51","13,97","0,71","1,44","4,44","8,14"
Banco Patagonia- Lombard acciones líderes ,0,"5,83",0,"2,88","4,04",0,"4,8",0,0,"2,81",0,0,"1,49",0,0,0,"5,78","0,92",0,"3,36",0,0,"1,17",,0,0,0,0,0,"13,37","2,15",0,0,0,0,0,"5,5",0,0,0,0,"9,08",0,"3,05","14,74","0,64","0,76","3,33","11,56"
Banco Mariva- MAF Acciones Argentina ,0,"11,01",0,"1,35","6,96",0,"7,12",0,0,"0,02",0,0,"1,1",0,0,0,"4,25",0,0,"0,68",0,0,0,,0,0,0,0,0,"4,98","0,28",0,"0,29",0,0,0,"9,58",0,0,0,0,"13,02",0,"0,44","11,46","0,43","0,19","2,65","5,42"
Supervielle- Premier renta variable ,"0,11","11,97",0,"3,64","4,5",0,"5,46","0,12",0,"0,21",0,0,"1,44",0,0,"0,01","6,59","0,11",0,"0,02",0,0,"0,49",,0,0,0,0,0,"5,04","0,86",0,"0,55",0,0,0,"9,99",0,"3,54",0,0,"13,62",0,0,"17,97","1,47","1,78","2,14","0,45"
Santander – Superfondo Renta variable ,0,"3,97",0,"1,04","5,42",0,"7,4",0,0,"2,61",0,0,3,0,0,0,"9,07","4,28",0,"3,39","0,1",0,"0,81",,0,0,0,0,0,"15,08","2,71",0,"0,6",0,0,0,"3,72","0,02",0,0,0,"10,27",0,"0,06","12,15","0,05","0,12","0,02","10,95"
Banco provincia de Buenos Aires- Raíces Valore s Negociables,0,"5,41",0,"2,61","5,79",0,"4,5",0,0,"2,45",0,0,"1,5",0,0,0,"5,68","2,49",0,"3,19",0,0,"0,74",,0,0,0,0,0,"12,33","1,54",0,"0,71",0,0,0,"5,09",0,"1,93",0,0,"9,89",0,"2,4","14,67","0,43","0,47","3,04","10,56"
Banco de valores SA - Allaria acciones ,0,"8,24",0,"1,57","6,84",0,"8,13",0,0,0,0,0,0,0,0,0,"10,02",0,0,0,0,0,0,,0,0,0,0,0,"8,99",0,0,0,0,"1,49",0,"2,5",0,"1,11",0,0,"13,17",0,0,"15,41",0,0,"6,57","7,97"
Banco de valores SA – Arpenta acciones argentina ,0,"6,33",0,"0,26","11,74",0,0,0,0,"1,54",0,"2,3",0,0,"1,38",0,"7,37",0,0,"1,13",0,0,0,,0,0,0,0,0,"3,83","9,87",0,"6,53",0,0,0,"5,63",0,0,0,"2,72","12,21","7,49",0,0,"3,04",0,0,"2,9"
Banco de Valores SA- Bull Market ,0,0,0,0,0,0,0,0,0,0,0,0,"4,64",0,0,0,"14,51",0,0,"7,27",0,0,0,,0,0,0,0,0,0,0,0,0,0,"7,09",0,0,0,0,"5,17",0,"7,47",0,0,"13,52","8,56","6,51","8,67",0
Banco de Valores SA- SBS acciones Argentina,0,"7,61",0,0,"2,89",0,"3,63",0,0,0,0,0,0,0,0,0,"5,26",0,0,0,0,0,0,,0,0,0,0,0,"7,4",0,0,0,0,0,0,"8,15",0,"3,43",0,0,"18,18",0,0,"18,16",0,"1,95","10,29","11,42"
Banco de Valores SA- Valiant renta variable,0,0,0,0,"7,15",0,"6,54",0,0,0,0,0,0,0,0,0,"2,91","8,06",0,"11,48",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,79",0,0,0,0,0,"5,69",0,0,"5,94","13,93"
